weight,delta,w_impact,w_urgency,w_tier,w_age,tickets,changed,changed_pct,moved_up,moved_down
impact,-0.1,0.3,0.4083,0.175,0.1167,200,29,14.5,10,19
impact,0.1,0.5,0.2917,0.125,0.0833,200,33,16.5,16,17
urgency,-0.1,0.4615,0.25,0.1731,0.1154,200,32,16,15,17
urgency,0.1,0.3385,0.45,0.1269,0.0846,200,28,14,16,12
tier,-0.1,0.4471,0.3912,0.05,0.1118,200,43,21.5,32,11
tier,0.1,0.3529,0.3088,0.25,0.0882,200,22,11,3,19
age,-0.1,0.4444,0.3889,0.1667,0,200,21,10.5,2,19
age,0.1,0.3556,0.3111,0.1333,0.2,200,35,17.5,27,8
